ANONYMIZED BUSINESS,QUANTITY,VALUE
Business-d525,71,180880.0
Business-d789,144,180860.0
Business-d9c3,128,180596.0
Business-5c2e,55,180072.0
Business-82c7,105,180062.0
Business-332c,107,179866.0
Business-86d4,82,179607.0
Business-0cd5,150,179455.0
Business-9226,166,179011.0
Business-9066,178,178500.0
Business-724d,153,178421.0
Business-2e8c,92,178370.0
Business-5a29,134,178320.0
Business-e9e3,114,178166.0
Business-d0bc,123,177790.0
Business-fbc3,117,177051.0
Business-7856,134,176886.0
Business-e015,137,176831.0
Business-270a,743,175315.0
Business-79c1,348,175245.0
Business-7f72,450,174734.0
Business-1239,129,173890.0
Business-905b,134,173821.0
Business-73c6,338,173805.0
Business-5b07,116,173588.0
Business-46f4,164,173537.0
Business-aef2,580,173398.0
Business-6037,597,172508.0
Business-5faf,123,172481.0
Business-4dd6,398,171544.0
Business-0e75,157,171150.0
Business-ef93,106,171139.0
Business-048c,214,170855.0
Business-95b1,70,170699.0
Business-40c2,144,170607.0
Business-2e37,124,170315.0
Business-e7af,143,170025.0
Business-7487,154,169601.0
Business-0109,279,169557.0
Business-5da0,582,169440.0
Business-013f,136,168735.0
Business-0d9c,224,168357.0
Business-9452,80,168300.0
Business-82b1,125,168281.0
Business-186d,152,167979.0
Business-585d,196,167960.0
Business-4a5d,115,167733.0
Business-94f3,209,167701.0
Business-c321,106,167588.0
Business-fbcd,118,167520.0
Business-fed0,66,167372.0
Business-ebef,62,167270.0
Business-729d,331,167134.0
Business-f5dd,114,166855.0
Business-5efe,112,166693.0
Business-d087,85,166595.0
Business-88e2,110,166073.0
Business-c030,68,165980.0
Business-1afb,145,165513.0
Business-77a2,130,165220.0
Business-45af,195,165015.0
Business-8be0,399,164909.0
Business-26de,89,164628.0
Business-5ebd,94,164557.0
Business-05e5,97,162890.0
Business-cb09,97,161998.0
Business-75a6,103,161899.0
Business-b9a7,357,161851.0
Business-13f5,183,161785.0
Business-6628,131,161745.0
Business-1a76,139,161628.0
Business-0b56,68,161580.0
Business-a132,143,161577.0
Business-4714,101,161014.0
Business-f408,53,160970.0
Business-b43f,64,160865.0
Business-cdb7,518,160526.0
Business-2e4a,171,160470.0
Business-aae9,135,159854.0
Business-9d04,57,159735.0
Business-1d55,63,159629.0
Business-12e1,101,159580.0
Business-92eb,163,158785.0
Business-d626,85,158602.0
Business-91b3,114,158528.0
Business-1a23,272,158370.0
Business-be40,59,158351.0
Business-748a,156,157985.0
Business-1ed2,153,157332.0
Business-94a2,265,157270.0
Business-d26f,97,157090.0
Business-1a74,108,156928.0
Business-7d9c,100,156749.0
Business-3e63,126,156740.0
Business-fa46,53,156704.0
Business-99e9,157,156575.0
Business-8e52,95,156548.0
Business-b710,533,156366.0
Business-d065,64,156351.0
Business-b7e7,126,156273.0
Business-271f,137,155811.0
Business-b473,114,155630.0
Business-f836,103,155577.0
Business-03ac,89,155277.0
Business-afd5,139,155180.0
Business-5d41,296,154862.0
Business-b395,92,154715.0
Business-8f7d,67,154442.0
Business-11da,127,154157.0
Business-4f2d,89,154104.0
Business-e7a7,72,153683.0
Business-9c5a,56,153615.0
Business-5cf4,236,153553.0
Business-991a,104,153456.0
Business-0f68,269,153453.0
Business-89da,110,153425.0
Business-64d2,81,153216.0
Business-a7a3,312,152710.0
Business-4651,229,152705.0
Business-5600,113,152644.0
Business-d13a,101,152570.0
Business-3c8e,152,152394.0
Business-108f,67,152354.0
Business-863b,100,152242.0
Business-6049,91,151655.0
Business-6b65,297,151470.0
Business-afe2,467,151171.0
Business-d910,112,151070.0
Business-a3da,87,150932.0
Business-658e,79,150866.0
Business-a078,86,150657.0
Business-7456,154,150585.0
Business-194c,71,150531.0
Business-eede,169,150406.0
Business-4d1b,417,150355.0
Business-a850,340,149980.0
Business-dc9c,74,149903.0
Business-1305,331,149751.0
Business-5953,77,148746.0
Business-2465,299,148675.0
Business-d38b,67,148006.0
Business-bfa0,99,147614.0
Business-d11b,107,147550.0
Business-d17c,139,147417.0
Business-c713,240,146968.0
Business-5700,69,146573.0
Business-d1c6,101,146395.0
Business-df2f,42,146300.0
Business-785d,64,146216.0
Business-d8e3,49,145537.0
Business-75b3,77,145503.0
Business-9bc8,90,145050.0
Business-e261,238,144947.0
Business-102d,75,144810.0
Business-8bf5,66,144736.0
Business-746a,78,144641.0
Business-864f,78,144365.0
Business-fb93,74,144151.0
Business-bff1,97,144035.0
Business-ee96,513,143227.0
Business-a187,321,143139.0
Business-a999,125,143028.0
Business-c5e8,76,142520.0
Business-fad3,63,141965.0
Business-b360,90,141352.0
Business-58fe,45,140605.0
Business-4490,326,140345.0
Business-1016,99,140301.0
Business-68a7,54,140091.0
Business-319b,100,140052.0
Business-d61c,103,140046.0
Business-3cef,80,140046.0
Business-a2a1,102,139793.0
Business-1660,301,139636.0
Business-696a,99,139525.0
Business-35a4,60,139290.0
Business-8264,92,139113.0
Business-0f84,122,138757.0
Business-1a8c,41,138614.0
Business-4d5a,46,138495.0
Business-7758,269,138238.0
Business-13d2,87,138106.0
Business-1dc2,72,138027.0
Business-a5ac,102,137693.0
Business-b11d,113,137300.0
Business-daa6,91,136745.0
Business-3b22,124,136440.0
Business-5e4f,88,136390.0
Business-6700,190,136300.0
Business-8828,54,136135.0
Business-77af,94,135914.0
Business-6ba6,79,135820.0
Business-f36e,55,135814.0
Business-5bac,455,135768.0
Business-5c47,125,135574.0
Business-3d9d,235,135409.0
Business-42d8,62,135165.0
Business-9317,100,135160.0
Business-9140,88,135050.0
Business-9ab5,108,134986.0
Business-e9e2,166,134820.0
Business-1ddb,67,134700.0
Business-736c,113,134150.0
Business-5601,62,133800.0
Business-7f6a,159,133796.0
Business-6756,136,133770.0
Business-bfd5,176,133614.0
Business-6782,85,133540.0
Business-2806,87,133270.0
Business-8157,103,132937.0
Business-bf95,64,132808.0
Business-4d3c,90,132367.0
Business-1074,87,131870.0
Business-9fd1,260,131735.0
Business-a71f,65,130930.0
Business-0e1a,259,130650.0
Business-2368,86,130630.0
Business-2ec3,53,130440.0
Business-4304,72,130405.0
Business-7a9b,43,130316.0
Business-10c6,200,130259.0
Business-e846,547,130035.0
Business-bd6d,246,129348.0
Business-0215,166,129322.0
Business-4fcb,240,129250.0
Business-2163,113,129125.0
Business-8791,57,129105.0
Business-8ab1,52,129030.0
Business-401e,73,128877.0
Business-930d,123,128747.0
Business-bd8a,99,128692.0
Business-7bbc,68,128681.0
Business-93f6,105,128275.0
Business-f56c,48,127902.0
Business-6b6b,70,127685.0
Business-c431,114,127512.0
Business-b38f,488,127320.0
Business-54ad,239,127300.0
Business-d59e,129,127087.0
Business-c8e3,622,127070.0
Business-550c,96,126890.0
Business-727d,201,126789.0
Business-c6ce,89,126625.0
Business-76ad,74,126336.0
Business-75df,98,126225.0
Business-cc03,59,125965.0
Business-91b5,147,125892.0
Business-b7e6,73,125827.0
Business-4b8d,106,125237.0
Business-9166,46,125200.0
Business-d72a,50,124775.0
Business-b51c,128,124291.0
Business-98d1,596,124090.0
Business-07cf,62,123901.0
Business-f42f,109,123873.0
Business-6cdf,236,123705.0
Business-be14,54,123705.0
Business-4c9e,59,123376.0
Business-8177,50,123275.0
Business-9193,74,123210.0
Business-5cfe,84,122550.0
Business-126a,74,122350.0
Business-22a2,202,122310.0
Business-bc71,72,122244.0
Business-6720,94,122087.0
Business-2d82,67,122039.0
Business-5327,240,121796.0
Business-46d8,192,121748.0
Business-04ad,77,121240.0
Business-cdc2,261,121080.0
Business-e52e,88,120870.0
Business-152a,102,120836.0
Business-1692,287,120761.0
Business-c219,338,120537.0
Business-0d27,107,120485.0
Business-c399,239,120290.0
Business-c440,88,120165.0
Business-e700,102,120039.0
Business-452a,56,119886.0
Business-37f0,53,119877.0
Business-6d60,350,119860.0
Business-fc9c,291,119800.0
Business-7af0,57,119470.0
Business-2326,37,119076.0
Business-2e0c,124,118880.0
Business-d0c8,82,118447.0
Business-e163,139,118274.0
Business-f2aa,54,118035.0
Business-dd04,295,117965.0
Business-fc9f,185,117903.0
Business-c62a,375,117440.0
Business-0693,77,117325.0
Business-5494,345,117191.0
Business-be84,77,117130.0
Business-5608,60,116964.0
Business-5162,62,116566.0
Business-aa74,113,116465.0
Business-8089,87,116280.0
Business-fb3f,181,116228.0
Business-8a69,293,116005.0
Business-93e2,80,115500.0
Business-0343,73,115435.0
Business-d6c9,61,115326.0
Business-168a,89,115245.0
Business-abcb,170,115107.0
Business-d5bb,112,115045.0
Business-9e08,64,114975.0
Business-6bae,46,114940.0
Business-ad5a,93,114665.0
Business-d914,461,114482.0
Business-70c0,78,114445.0
Business-c34d,32,114390.0
Business-adfa,80,114281.0
Business-5cc9,311,114193.0
Business-25a5,75,114162.0
Business-fd59,71,114146.0
Business-e912,219,113975.0
Business-414c,298,113632.0
Business-e0a9,102,113595.0
Business-9dd9,58,113590.0
Business-0bcc,82,113545.0
Business-a609,146,113541.0
Business-0e06,103,113520.0
Business-d3d8,80,113127.0
Business-ea0e,286,112780.0
Business-16ed,117,112715.0
Business-7372,82,112595.0
Business-8e5d,408,112390.0
Business-c680,334,112189.0
Business-6ace,100,111970.0
Business-ca45,212,111910.0
Business-643c,1750,111879.0
Business-595f,52,111835.0
Business-2ef4,536,111641.0
Business-f94b,78,111523.0
Business-c531,379,111330.0
Business-62a5,136,111189.0
Business-3ba8,65,111095.0
Business-3cf8,48,111007.0
Business-328d,248,110935.0
Business-89fd,61,110720.0
Business-2b54,29,110536.0
Business-2460,70,109874.0
Business-348a,62,109544.0
Business-4e94,193,109505.0
Business-eb88,96,109425.0
Business-7987,34,109399.0
Business-43f5,53,109380.0
Business-1a3a,84,109280.0
Business-6bdf,77,109130.0
Business-d2eb,70,108981.0
Business-ca08,322,108960.0
Business-ffff,110,108835.0
Business-5435,197,108761.0
Business-2078,96,108730.0
Business-c3cb,276,108598.0
Business-e95e,50,108407.0
Business-3fa3,71,108396.0
Business-96d3,116,108238.0
Business-2ab1,42,108226.0
Business-644e,87,107934.0
Business-cc55,48,107920.0
Business-abe0,220,107760.0
Business-0ec5,125,107580.0
Business-77b6,151,107525.0
Business-6c69,279,107420.0
Business-a062,56,107230.0
Business-aa2b,44,107080.0
Business-3ee2,34,107012.0
Business-deb3,41,106911.0
Business-eb58,162,106830.0
Business-135d,63,106780.0
Business-7a4d,98,106395.0
Business-d513,147,106175.0
Business-9770,459,105878.0
Business-a9be,202,105864.0
Business-cd30,70,105835.0
Business-891a,81,105805.0
Business-d482,73,105645.0
Business-82a3,232,105520.0
Business-7e2e,55,105410.0
Business-7c4e,51,105230.0
Business-fe7e,31,105020.0
Business-e807,82,105011.0
Business-72dd,50,104885.0
Business-952a,121,104812.0
Business-2c08,392,104790.0
Business-4c26,88,104772.0
Business-a85f,195,104695.0
Business-f5cf,72,104412.0
Business-6089,150,104063.0
Business-55d4,96,104010.0
Business-eae7,155,103647.0
Business-caa5,56,103354.0
Business-4c1f,40,102892.0
Business-b0c4,48,102875.0
Business-e87a,81,102872.0
Business-cf93,41,102764.0
Business-fd35,101,102750.0
Business-a6b2,49,102635.0
Business-0259,239,102510.0
Business-0872,54,102465.0
Business-2a14,42,102395.0
Business-6cf4,66,102345.0
Business-dcb0,319,102146.0
Business-7b8f,69,102035.0
Business-7c37,115,102005.0
Business-776d,218,101976.0
Business-e137,125,101955.0
Business-99f1,118,101925.0
Business-567a,66,101819.0
Business-09a0,19,101515.0
Business-a1a7,443,100795.0
Business-404e,144,100399.0
Business-6326,78,100335.0
Business-47f8,96,100210.0
Business-e321,47,100060.0
Business-b73f,72,99995.0
Business-fe63,54,99823.0
Business-22e2,558,99686.0
Business-51cb,393,99685.0
Business-be24,36,99603.0
Business-f16f,72,99479.0
Business-a334,48,99436.0
Business-4b07,54,99390.0
Business-68df,73,99315.0
Business-2b63,126,99259.0
Business-f59b,110,99245.0
Business-7af1,251,99130.0
Business-06fe,87,98815.0
Business-98b5,39,98595.0
Business-ff09,83,98570.0
Business-d420,46,98465.0
Business-7e69,41,98446.0
Business-f3a5,110,98365.0
Business-38dd,54,98305.0
Business-a2ef,888,98165.0
Business-aabd,40,97650.0
Business-f5be,80,97367.0
Business-5b6f,79,97030.0
Business-4f4c,273,96635.0
Business-7795,45,96552.0
Business-b245,89,96550.0
Business-1944,65,96015.0
Business-a820,368,96002.0
Business-f18a,51,95660.0
Business-ae03,153,95545.0
Business-c63d,58,95370.0
Business-118d,43,94750.0
Business-6f09,121,94700.0
Business-b22b,440,94540.0
Business-b188,37,94518.0
Business-b2ac,60,94425.0
Business-90af,1182,94339.0
Business-0309,241,94337.0
Business-3eda,68,94014.0
Business-29cc,44,93670.0
Business-9ec4,54,93455.0
Business-bb3e,174,93236.0
Business-7c8a,24,92835.0
Business-3c55,74,92702.0
Business-082e,89,92690.0
Business-40ca,31,92528.0
Business-7e52,46,92518.0
Business-62bb,52,92495.0
Business-639f,53,92235.0
Business-3f90,231,92188.0
Business-2a6e,62,92020.0
Business-364d,25,91948.0
Business-7dd6,61,91318.0
Business-8754,187,91090.0
Business-0470,46,90945.0
Business-3497,70,90944.0
Business-52f3,61,90895.0
Business-6ecd,260,90880.0
Business-7341,55,90559.0
Business-4bc3,56,90327.0
Business-0e7c,67,90213.0
Business-d454,165,90035.0
Business-2321,246,89830.0
Business-14f0,118,89815.0
Business-1993,72,89805.0
Business-3b03,290,89800.0
Business-c702,50,89703.0
Business-620e,49,89636.0
Business-76d2,80,89525.0
Business-5378,55,89448.0
Business-ec77,37,89350.0
Business-7206,101,88875.0
Business-c244,132,88775.0
Business-c153,62,88664.0
Business-41f1,46,88630.0
Business-783b,39,88601.0
Business-5842,35,88600.0
Business-3bad,37,88224.0
Business-9cb4,77,88220.0
Business-14f7,86,88155.0
Business-5ff6,70,87630.0
Business-38b5,61,87625.0
Business-6ce5,295,87620.0
Business-ad1f,57,87512.0
Business-d752,69,87454.0
Business-4fbd,83,86840.0
Business-b4b9,166,86740.0
Business-234e,62,86650.0
Business-6b71,29,86471.0
Business-38ee,92,86400.0
Business-6bb0,82,86375.0
Business-f3e4,23,86330.0
Business-cb40,39,86066.0
Business-f807,112,85915.0
Business-fa6f,39,85710.0
Business-9370,44,85385.0
Business-ad72,84,85357.0
Business-225d,30,85030.0
Business-e23f,57,84722.0
Business-a085,68,84116.0
Business-e729,123,84078.0
Business-a15a,58,83856.0
Business-0a00,104,83617.0
Business-598d,224,83540.0
Business-e79e,51,83530.0
Business-80d7,233,83453.0
Business-a6d9,41,83317.0
Business-82a8,133,83055.0
Business-28b6,157,82570.0
Business-a18e,27,82520.0
Business-3970,67,82370.0
Business-e203,62,82287.0
Business-6823,47,82035.0
Business-b48a,44,82025.0
Business-4454,232,81987.0
Business-41d9,47,81805.0
Business-cc96,26,81520.0
Business-6a83,56,81108.0
Business-190a,76,81064.0
Business-eee7,32,80960.0
Business-24aa,42,80740.0
Business-044c,58,80512.0
Business-35cf,61,80385.0
Business-5ac3,147,80285.0
Business-b73c,53,80275.0
Business-281e,53,80274.0
Business-9147,52,79970.0
Business-5a2a,32,79788.0
Business-3dbf,77,79750.0
Business-156e,67,79640.0
Business-7d5d,85,79580.0
Business-886b,31,79447.0
Business-1162,23,79352.0
Business-ab8c,78,79295.0
Business-f287,26,79250.0
Business-f232,60,79220.0
Business-5442,92,79211.0
Business-f539,46,79154.0
Business-f4c9,67,79125.0
Business-25bd,33,79105.0
Business-0357,130,79035.0
Business-2bf5,93,78995.0
Business-d666,45,78670.0
Business-f4ff,27,78585.0
Business-657f,53,78210.0
Business-1cef,35,78209.0
Business-82d2,104,78195.0
Business-3d9c,173,77970.0
Business-2b86,25,77960.0
Business-2bb9,29,77474.0
Business-f938,73,77417.0
Business-ff6f,53,77405.0
Business-7dcb,30,77345.0
Business-6eff,60,77331.0
Business-c21d,291,76966.0
Business-ba2a,74,76910.0
Business-3731,87,76825.0
Business-4347,392,76596.0
Business-cbe1,77,76519.0
Business-596f,42,76350.0
Business-17ba,73,76200.0
Business-cd92,36,76030.0
Business-586b,65,75740.0
Business-86f8,79,75586.0
Business-747e,39,75390.0
Business-b903,46,75092.0
Business-884f,130,75076.0
Business-7baa,31,75022.0
Business-5ba6,104,74973.0
Business-136e,32,74967.0
Business-fba7,26,74835.0
Business-ddaf,37,74722.0
Business-17a7,37,74585.0
Business-284b,63,74085.0
Business-ab52,48,73940.0
Business-a682,68,73920.0
Business-333a,96,73846.0
Business-bfdc,87,73765.0
Business-149d,37,73680.0
Business-cc31,86,73655.0
Business-db84,41,73640.0
Business-1cb1,39,73430.0
Business-1670,33,73360.0
Business-3a38,142,73360.0
Business-d2a5,111,73350.0
Business-003d,98,73251.0
Business-8bb0,72,73127.0
Business-053b,61,72916.0
Business-c98a,39,72863.0
Business-dce1,18,72791.0
Business-4a70,56,72745.0
Business-2657,35,72613.0
Business-4f3f,45,72590.0
Business-74dc,133,72525.0
Business-4b1e,48,72490.0
Business-81b7,47,72435.0
Business-9add,316,72420.0
Business-df12,50,72391.0
Business-6953,199,72373.0
Business-b886,97,72230.0
Business-ea82,25,72160.0
Business-3880,224,72075.0
Business-5cef,122,72021.0
Business-e89b,40,71619.0
Business-6a08,43,71600.0
Business-3475,42,71490.0
Business-2ab5,113,71450.0
Business-8266,59,71295.0
Business-d94c,51,71045.0
Business-3fca,199,71010.0
Business-1710,44,70585.0
Business-fbc8,39,70505.0
Business-20e4,60,70425.0
Business-359b,303,70320.0
Business-9daf,221,70251.0
Business-040f,36,70239.0
Business-a264,125,70078.0
Business-cfcf,101,70021.0
Business-ab02,39,69925.0
Business-9c3d,47,69820.0
Business-fd50,42,69726.0
Business-d564,142,69367.0
Business-a50a,134,69356.0
Business-52a1,49,69275.0
Business-8740,27,69176.0
Business-07fe,80,69060.0
Business-5f56,207,68687.0
Business-64a5,51,68610.0
Business-63df,59,68530.0
Business-c37d,68,68390.0
Business-a298,47,68100.0
Business-d7c6,71,68042.0
Business-df0f,58,67937.0
Business-ee0a,58,67775.0
Business-cb5f,131,67653.0
Business-f510,33,67545.0
Business-a747,70,67122.0
Business-4b76,38,67105.0
Business-2a95,42,66971.0
Business-5be4,42,66925.0
Business-f4e5,25,66871.0
Business-15c4,48,66855.0
Business-bb51,34,66470.0
Business-c995,106,66335.0
Business-57ff,66,66294.0
Business-e6ff,28,66076.0
Business-3c02,17,65923.0
Business-6a8e,73,65920.0
Business-a1be,41,65870.0
Business-a7d6,55,65815.0
Business-2bf3,26,65814.0
Business-5207,52,65705.0
Business-91a4,306,65535.0
Business-0437,173,65511.0
Business-255b,59,65455.0
Business-cabd,138,65420.0
Business-e454,37,65195.0
Business-b0f9,54,64980.0
Business-b1c1,37,64930.0
Business-ae0b,40,64910.0
Business-9a67,37,64869.0
Business-6b1f,42,64864.0
Business-9ff8,59,64820.0
Business-9bb3,135,64637.0
Business-3713,99,64615.0
Business-b517,30,64605.0
Business-5cbb,16,64535.0
Business-33f7,42,64510.0
Business-5840,242,64300.0
Business-a196,262,64282.0
Business-b299,78,64160.0
Business-28a2,42,64080.0
Business-9632,310,64075.0
Business-dba9,31,64055.0
Business-ca11,48,64045.0
Business-7343,33,64025.0
Business-d02d,151,64010.0
Business-7673,36,63965.0
Business-557b,79,63868.0
Business-72b6,72,63850.0
Business-b4bd,55,63788.0
Business-d614,40,63739.0
Business-1791,54,63699.0
Business-bd99,34,63665.0
Business-b5bd,56,63615.0
Business-7749,42,63540.0
Business-f011,27,63175.0
Business-fd3e,211,63123.0
Business-1a5e,117,63101.0
Business-2298,70,62895.0
Business-0e99,104,62700.0
Business-95d4,21,62650.0
Business-0b16,57,62562.0
Business-946e,35,62546.0
Business-4f41,128,62545.0
Business-50ba,35,62536.0
Business-e5cb,44,62490.0
Business-418d,84,62365.0
Business-67f4,16,62340.0
Business-2be7,116,62235.0
Business-53e1,38,62215.0
Business-b919,63,62170.0
Business-4758,33,62075.0
Business-dd47,42,61810.0
Business-1ae1,16,61580.0
Business-a717,29,61550.0
Business-b143,188,61470.0
Business-2e04,50,61435.0
Business-d40d,49,61420.0
Business-7250,12,61344.0
Business-9712,50,61020.0
Business-be73,61,60983.0
Business-f7e7,293,60800.0
Business-e1a6,122,60755.0
Business-7aa1,54,60612.0
Business-3630,59,60595.0
Business-fa6b,35,60591.0
Business-bfa7,30,60390.0
Business-ec6e,18,60325.0
Business-d692,56,60250.0
Business-e05c,28,60165.0
Business-2a9d,17,60130.0
Business-0893,90,59956.0
Business-71bf,26,59835.0
Business-82c9,100,59780.0
Business-2604,25,59780.0
Business-e424,63,59700.0
Business-eb11,1011,59595.0
Business-69b3,88,59316.0
Business-e5f9,37,59275.0
Business-786c,41,59265.0
Business-1bd3,34,59180.0
Business-672f,42,59178.0
Business-448b,30,59080.0
Business-aa59,50,59065.0
Business-27fa,134,59055.0
Business-1bb7,67,59050.0
Business-8680,65,58935.0
Business-4349,72,58822.0
Business-f340,49,58734.0
Business-95c5,28,58640.0
Business-13b0,19,58381.0
Business-1371,1073,58038.0
Business-325c,43,57993.0
Business-6d54,50,57860.0
Business-52ac,38,57791.0
Business-bd75,58,57770.0
Business-ac7e,34,57670.0
Business-4caa,37,57655.0
Business-ecfc,38,57520.0
Business-37ed,35,57372.0
Business-c429,201,57285.0
Business-625b,58,57255.0
Business-e5f8,32,57240.0
Business-f193,65,57205.0
Business-c45a,97,57145.0
Business-f7eb,93,56960.0
Business-c5a9,82,56940.0
Business-7f2c,37,56771.0
Business-62d0,35,56730.0
Business-ef00,29,56605.0
Business-c323,71,56575.0
Business-f443,50,56540.0
Business-f60b,38,56500.0
Business-94f5,52,56460.0
Business-f95a,37,56455.0
Business-9f4f,15,56355.0
Business-d9e4,60,56260.0
Business-44f1,47,56170.0
Business-4e4c,37,56150.0
Business-e3a6,22,56105.0
Business-1979,32,56070.0
Business-7cb3,44,56040.0
Business-7850,100,55800.0
Business-ceb7,41,55695.0
Business-e710,30,55615.0
Business-0c88,190,55560.0
Business-a3e6,75,55470.0
Business-d001,41,55420.0
Business-5a63,42,55396.0
Business-21e9,28,55339.0
Business-ee74,60,55335.0
Business-a8e1,26,55322.0
Business-fb51,25,55318.0
Business-49b9,20,55297.0
Business-a465,36,55266.0
Business-3b3c,56,55246.0
Business-4633,23,55158.0
Business-536d,30,55110.0
Business-5f20,20,55106.0
Business-d186,25,55015.0
Business-a9c0,23,54875.0
Business-7040,284,54610.0
Business-f88e,340,54560.0
Business-c46c,82,54346.0
Business-3d5b,232,54210.0
Business-6f33,41,54197.0
Business-ba08,71,54185.0
Business-17a8,176,54035.0
Business-5fbb,46,53880.0
Business-3df1,22,53850.0
Business-bcf1,62,53830.0
Business-492e,46,53830.0
Business-bd0c,123,53545.0
Business-3dd1,52,53490.0
Business-40a4,21,53342.0
Business-c461,60,53325.0
Business-12c6,19,53177.0
Business-d911,50,53175.0
Business-5188,26,53096.0
Business-48a1,100,52980.0
Business-d3f6,194,52891.0
Business-3629,42,52837.0
Business-f404,77,52821.0
Business-5810,62,52634.0
Business-c8bf,41,52589.0
Business-3498,24,52410.0
Business-5ace,29,52370.0
Business-6fa0,47,52320.0
Business-be64,39,52130.0
Business-b587,39,52035.0
Business-aa33,74,51980.0
Business-a197,49,51935.0
Business-cd93,95,51870.0
Business-c68b,94,51860.0
Business-b361,16,51760.0
Business-f9d8,49,51730.0
Business-12ce,30,51635.0
Business-fe34,24,51605.0
Business-1698,74,51545.0
Business-2e92,157,51538.0
Business-6877,59,51536.0
Business-6ee5,30,51487.0
Business-e7c5,55,51332.0
Business-5029,28,51244.0
Business-5311,47,51090.0
Business-1a2d,38,51045.0
Business-d2b0,43,50835.0
Business-d7c2,108,50755.0
Business-e8a3,85,50685.0
Business-4b2d,35,50670.0
Business-ca9c,33,50662.0
Business-2a75,16,50485.0
Business-f083,31,50425.0
Business-0105,41,50335.0
Business-a6dc,27,50227.0
Business-a62d,32,50035.0
Business-079e,41,50005.0
Business-16a4,17,49755.0
Business-c8d5,47,49695.0
Business-df76,22,49630.0
Business-1a04,60,49621.0
Business-ac16,86,49539.0
Business-43df,44,49510.0
Business-16b6,35,49455.0
Business-1494,23,49385.0
Business-b3a3,96,49380.0
Business-50b4,70,49190.0
Business-6deb,100,49120.0
Business-a9dd,37,49100.0
Business-68b6,78,49040.0
Business-8c56,25,48950.0
Business-ab77,30,48835.0
Business-4d8e,225,48830.0
Business-f9a6,42,48811.0
Business-8fcf,38,48455.0
Business-0cbc,100,48419.0
Business-6f0c,83,48369.0
Business-abae,82,48346.0
Business-f9b0,30,48290.0
Business-7d98,37,48276.0
Business-ffd2,37,48217.0
Business-6b1a,18,48161.0
Business-6539,59,48119.0
Business-e535,32,48038.0
Business-0999,37,48036.0
Business-636c,150,47925.0
Business-696b,21,47922.0
Business-f2b6,27,47880.0
Business-5823,32,47810.0
Business-64ac,79,47761.0
Business-bdf9,7,47581.0
Business-ead8,24,47497.0
Business-893b,35,47488.0
Business-b059,48,47325.0
Business-5689,28,47260.0
Business-6343,68,47140.0
Business-d606,37,47140.0
Business-2147,15,47108.0
Business-18c8,49,47095.0
Business-85cf,30,46826.0
Business-ae70,30,46790.0
Business-8395,89,46752.0
Business-243e,147,46730.0
Business-06e6,45,46695.0
Business-48c3,55,46605.0
Business-8d64,147,46488.0
Business-2c25,24,46435.0
Business-3cb8,18,46434.0
Business-8038,25,46385.0
Business-6a45,21,46220.0
Business-d935,117,46110.0
Business-b3f8,43,46054.0
Business-a65e,31,46025.0
Business-2e95,44,45975.0
Business-f9c0,34,45900.0
Business-efdd,44,45740.0
Business-1f1f,26,45675.0
Business-e034,63,45668.0
Business-86bc,21,45566.0
Business-7d69,21,45455.0
Business-20e9,36,45420.0
Business-49be,41,45370.0
Business-7f0d,24,45360.0
Business-09dd,20,45360.0
Business-37ea,23,45323.0
Business-d759,16,45287.0
Business-6860,37,45235.0
Business-78a5,21,45181.0
Business-9d26,25,45180.0
Business-3ec8,26,45095.0
Business-5dfe,240,45040.0
Business-ca42,211,45035.0
Business-7a28,44,45010.0
Business-eb91,50,44965.0
Business-166d,61,44927.0
Business-5cc4,34,44850.0
Business-5809,37,44800.0
Business-b943,62,44640.0
Business-0305,24,44530.0
Business-4b0d,15,44470.0
Business-5760,47,44450.0
Business-78dd,26,44405.0
Business-ff19,11,44325.0
Business-7290,95,44244.0
Business-45c0,108,44150.0
Business-ad6a,16,44101.0
Business-2e59,34,44045.0
Business-d125,25,43940.0
Business-834b,60,43911.0
Business-97ae,47,43902.0
Business-3fc8,28,43835.0
Business-5cec,11,43780.0
Business-12c2,56,43740.0
Business-b243,16,43698.0
Business-913b,50,43687.0
Business-2e2f,46,43685.0
Business-fd0b,13,43647.0
Business-a9a7,32,43564.0
Business-0a94,14,43404.0
Business-298d,22,43345.0
Business-3a4a,14,43236.0
Business-9c61,13,43145.0
Business-a8ea,28,43120.0
Business-288e,27,43035.0
Business-ce02,23,43007.0
Business-f888,29,42885.0
Business-55d5,23,42805.0
Business-5f88,29,42750.0
Business-7256,11,42720.0
Business-5172,35,42666.0
Business-6640,50,42635.0
Business-784e,66,42625.0
Business-f820,18,42537.0
Business-2ca8,261,42527.0
Business-aa55,19,42450.0
Business-f970,16,42370.0
Business-72f8,19,42355.0
Business-069c,30,42310.0
Business-dffe,19,42296.0
Business-3f74,19,42196.0
Business-3a71,24,42185.0
Business-4a48,19,42170.0
Business-cee5,24,42121.0
Business-bba4,168,42039.0
Business-1e51,30,42005.0
Business-d6fb,31,41900.0
Business-9ea0,41,41852.0
Business-d0a4,28,41795.0
Business-a409,164,41776.0
Business-d4b0,24,41640.0
Business-fd03,23,41525.0
Business-c0e6,33,41485.0
Business-522f,86,41395.0
Business-e1b3,54,41385.0
Business-1e57,119,41360.0
Business-c155,49,41360.0
Business-42cd,59,41330.0
